possID,Play_by_Play,Score
211,P. Pierce makes 2-pt jump shot from 19 ft,78-90
212,L. James makes 2-pt layup from 2 ft (assist by D. Wade),80-90
213,P. Pierce misses 3-pt jump shot from 25 ft + A. Anderson misses 2-pt jump shot,80-90
214,L. James misses 2-pt layup from 2 ft (block by P. Pierce),80-90
215,Turnover by S. Livingston (lost ball; steal by M. Chalmers),80-90
216,Turnover by Team (shot clock),82-90
217,Turnover by L. James (traveling),82-90
218,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Williams),82-93
219,M. Chalmers misses 2-pt jump shot from 10 ft,82-93
220,K. Garnett misses 2-pt jump shot from 20 ft,82-93
221,L. James makes 2-pt layup from 2 ft,84-93
222,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. Williams),84-96
223,L. James makes 2-pt layup from 2 ft (assist by R. Allen),86-96
224,K. Garnett misses 3-pt jump shot from 25 ft,86-96
225,Shooting foul by K. Garnett (drawn by C. Bosh),88-96
226,K. Garnett misses 2-pt layup from 3 ft,88-96
227,R. Allen misses 2-pt layup from 2 ft,88-96
228,P. Pierce misses 2-pt jump shot from 17 ft,88-96
229,D. Wade makes 3-pt jump shot from 24 ft (assist by R. Allen),91-96
230,K. Garnett misses 2-pt jump shot from 8 ft,91-96
231,M. Chalmers makes 3-pt jump shot from 27 ft (assist by L. James),94-97
232,Personal foul by M. Chalmers (drawn by D. Williams),94-97
233,Unknown,100-101 
